Nº;FOTO;ATLETA;POSIÇÃO;PÉ;IDADE;ALTURA;STATUS;PERFIL;CONTRATO;DATA ENTRADA;DATA SAÍDA;OBSERVAÇÕES;
;fotos/everton.jpeg;Everton;Goleiro;Destro;27;1.86;Titular;;;;;;
;fotos/vinicius.jpeg;Vinicius;Goleiro;Destro;24;1.9;Ativo;;;;;;
;fotos/fornazier.jpeg;Fornazier;Lateral Direito;Destro;23;1.78;Titular;;;;;;
;fotos/pedrinho.jpeg;Pedrinho;Lateral Direito;Destro;26;1.78;Ativo;;;;;;
;fotos/thalisson.png;Thalisson;Lateral Esquerdo;Canhoto;23;1.78;Ativo;;;;;;
;fotos/carlos_junior.png;Carlos Junior;Lateral Esquerdo;Canhoto;25;1.84;Titular;;;;;;
;fotos/flavio.jpeg;Flávio;Zagueiro;Destro;27;1.87;Titular;;;;;;
;fotos/luizao.png;Luizão;Zagueiro;Destro;27;1.88;Ativo;;;;;;
;fotos/ulisses.png;Ulisses;Zagueiro;Destro;30;1.86;Titular;;;;;;
;fotos/reis.png;Reis;Volante;Destro;34;1.76;Titular;;;;;;
;fotos/rafael.jpeg;Rafael;Volante;Destro;24;1.85;Ativo;;;;;;
;fotos/vitor.png;Vitor;Volante;Destro;22;;Ativo;;;;;;
;fotos/china.jpeg;China;Meia;Canhoto;23;1.77;Titular;;;;;;
;fotos/luizinho.png;Luizinho;Meia;Canhoto;27;1.78;Titular;;;;;;
;fotos/antonio_vila.png;Antônio Vila;Meia;Destro;23;1.75;Ativo;;;;;;
;fotos/pedro.jpeg;Pedro;Atacante;Destro;31;1.86;Titular;;;;;;
;fotos/everton_heleno.jpeg;Everton Heleno;Atacante;Destro;35;1.87;Titular;;;;;;
;fotos/everton_potiguar.png;Everton Potiguar;Atacante;Destro;28;1.77;Ativo;;;;;;
;fotos/jararaca.jpeg;Jararaca;Ponta Esquerda;Destro;22;;Ativo;;;;;;
;fotos/histone.png;Histone;Ponta Direito;Destro;26;1.67;Titular;;;;;;
;fotos/renato.jpeg;Renato;Zagueiro;Destro;20;1.83;Ativo;;;;;;
;fotos/davi_carioca.png;Davi Carioca;Volante;Destro;20;;Ativo;;;;;;
;fotos/enzo.jpeg;Enzo;Meia;Canhoto;17;1.78;Ativo;;;;;;
;fotos/gabriel_junior.jpeg;Gabriel Júnior;Meia;Destro;18;;Ativo;;;;;;
;fotos/joao_lucas.jpeg;João Lucas;Atacante;Destro;19;;Ativo;;;;;;
;fotos/henrique.jpeg;Henrique;Atacante;Destro;19;1.7;Ativo;;;;;;
;fotos/pietro.jpeg;Pietro;Zagueiro;Canhoto;17;;Inativo;;;;;;
;fotos/sabatine.jpeg;Sabatine;Meia;Destro;16;;Inativo;;;;;;
;fotos/everton_2.jpeg;Everton;Goleiro;Canhoto;18;;Inativo;;;;;;
;fotos/jorge.jpeg;Jorge;Atacante;Destro;18;1.85;Inativo;;;;;;
